f1,f2,_class,_value,_training
-0.1123,-0.238,Green,1,1
0.6713,-0.3704,Green,1,0
0.9115,0.3373,Green,1,0
-0.696,1.4315,Green,1,0
-0.6911,0.6033,Green,1,0
0.1998,2.4644,Green,1,1
1.7427,-0.7228,Green,1,0
0.1193,0.432,Green,1,0
-0.919,1.4797,Green,1,0
-0.641,0.9289,Green,1,0
-1.4619,0.5987,Green,1,1
1.4264,0.6784,Green,1,0
-0.9655,1.3386,Green,1,0
0.6383,0.2034,Green,1,0
-1.2916,3.4734,Green,1,0
0.937,0.0035,Green,1,1
-1.3212,0.6487,Green,1,0
0.2127,-0.6539,Green,1,0
-0.9934,-0.1013,Green,1,0
-0.1582,0.9746,Green,1,0
-0.5957,-1.9565,Green,1,1
0.5406,-0.9687,Green,1,0
-0.201,-0.7298,Green,1,0
-1.1432,-0.6014,Green,1,0
0.2442,2.0066,Green,1,0
0.0567,-1.0689,Green,1,1
0.8498,0.961,Green,1,0
0.6541,1.0201,Green,1,0
-0.5743,1.0914,Green,1,0
1.8643,0.2588,Green,1,0
-1.6517,-0.2938,Green,1,1
-0.8559,0.9403,Green,1,0
1.8778,-1.0451,Green,1,0
-0.2307,0.1991,Green,1,0
-0.9231,-2.0216,Green,1,0
-0.6415,-1.6732,Green,1,1
1.703,-2.027,Green,1,0
0.0484,-1.4132,Green,1,0
0.7543,0.5472,Green,1,0
-1.19,-1.0686,Green,1,0
0.1718,0.6585,Green,1,1
-0.3624,0.2673,Green,1,0
-1.7143,1.3808,Green,1,0
0.7818,-2.4232,Green,1,0
-2.7163,-0.2302,Green,1,0
-1.0618,0.7637,Green,1,1
-0.1201,0.0529,Green,1,0
1.3485,-1.0774,Green,1,0
-0.7139,1.1265,Green,1,0
0.7935,-1.222,Green,1,0
-0.2788,-0.0837,Green,1,1
0.9649,-0.436,Green,1,0
0.3608,0.9921,Green,1,0
-0.5594,0.0446,Green,1,0
0.919,-0.103,Green,1,0
1.9627,0.8245,Green,1,1
0.4003,-0.5926,Green,1,0
1.6063,0.8625,Green,1,0
0.77,-1.3331,Green,1,0
1.1105,-1.6606,Green,1,0
-0.1196,0.287,Green,1,1
-0.7443,1.8315,Green,1,0
1.5736,-0.0608,Green,1,0
1.5226,1.2308,Green,1,0
-0.6667,-2.2555,Green,1,0
2.1842,0.1103,Green,1,1
0.6907,-0.6217,Green,1,0
0.1548,-1.9827,Green,1,0
-0.8834,-0.8074,Green,1,0
0.1835,-0.3282,Green,1,0
0.3606,1.0903,Green,1,1
